psd_mu_C3,psd_beta_C3,hjorth_act_C3,hjorth_comp_C3,sampen_C3,psd_mu_Cz,psd_beta_Cz,hjorth_act_Cz,hjorth_comp_Cz,sampen_Cz,psd_mu_C4,psd_beta_C4,hjorth_act_C4,hjorth_comp_C4,sampen_C4,LI_mu,LI_beta,sampen_diff,plv_c3_c4_mu,sujeto,run,tarea
2.6706107082962218e-12,2.3983849718659655e-12,5.618002716988381e-11,1.154261983874244,1.0469198980351346,6.6596920218280946e-12,2.3452011505458617e-12,7.671033236856037e-11,1.257262687359531,1.1123548362344302,5.531905840055194e-12,2.754925649622925e-12,7.26095243412454e-11,1.2036969821178756,0.9925191966397366,-0.3488313756994553,-0.06918672363164245,0.05440070139539799,0.09232505718720597,sub-001,R04,0
4.1433658692315994e-12,2.3100884875457343e-12,6.589132016655926e-11,1.1863128544847046,1.1477389265957634,5.1962274846095185e-12,1.608144801247637e-12,5.5588016746554404e-11,1.2448996455302002,1.13640748483017,3.538466819690469e-12,1.8668512794152003e-12,5.013628706337268e-11,1.1926122492926334,1.05080331836317,0.07874410626170654,0.10611529800752319,0.0969356082325934,0.35016075758851545,sub-001,R04,0
9.854921467206103e-12,1.8076657639746335e-12,7.678087739807179e-11,1.2489045242833785,1.0484074796153444,4.948829474390369e-12,1.8034695120937056e-12,5.299403882789515e-11,1.226088113494456,1.1311733047174217,9.612104797647695e-12,2.506135399654425e-12,8.655052520916106e-11,1.2427666948295304,0.9385268733210368,0.01247322864082194,-0.1619151206061134,0.10988060629430763,0.33595287753965064,sub-001,R04,0
6.908633413872237e-12,2.8047082090129105e-12,9.299685664994472e-11,1.2142414105410777,1.04260920018072,3.990504409416913e-12,2.232403835132281e-12,6.092069592868183e-11,1.204110104736905,1.0658224658451187,7.915292204683303e-12,2.240518094434663e-12,7.770669348422228e-11,1.224883165287559,0.9975763073422785,-0.06790770654913443,0.11182652286433958,0.04503289283844136,0.4313543284538,sub-001,R04,0
4.8102916507908956e-12,1.8138407180777557e-12,5.7238104413080484e-11,1.2365302093210218,1.1409276730209708,4.776664842328255e-12,1.8639850031269374e-12,6.187340190346319e-11,1.2556714592541471,1.1345849491269273,4.162212414674998e-12,2.1748151734486626e-12,6.570957674042542e-11,1.2092522944819346,1.0754950111621642,0.07222947255162329,-0.09050027507706754,0.06543266185880658,0.1504806801851958,sub-001,R04,0
3.937816874796308e-12,2.0452257889790686e-12,5.423845778450615e-11,1.1602838278707044,1.01933643168353,4.5933766694862286e-12,1.8919872630897163e-12,5.839752725836246e-11,1.2044951627718006,1.1038977132345738,3.645388021756382e-12,1.5573425824536568e-12,4.415323523286034e-11,1.2023677123824703,1.0625934278000055,0.038562699680297956,0.13542649471809545,-0.04325699611647549,0.15434004240465318,sub-001,R04,0
1.3458361730865906e-11,3.9730936442214375e-12,1.3605889779346082e-10,1.1925203766540622,0.8849908522123178,4.594450056948107e-12,2.933991212574069e-12,7.991735675509558e-11,1.1973300643804006,1.0363288049606822,5.835558883535301e-12,3.242500943110872e-12,9.391147209242182e-11,1.1773582897834138,0.9793649707712204,0.3950883285816391,0.10125190547611881,-0.09437411855890265,0.19922614296148963,sub-001,R04,0
1.0077339807083579e-11,3.2199305445260567e-12,1.1122700042324176e-10,1.2050295122712515,0.9136680252377705,4.5721323103369546e-12,2.243521242270226e-12,6.77887956326122e-11,1.1994555881835132,1.0686376191956348,6.900899171233932e-12,2.189056492448303e-12,7.031875892994188e-11,1.2291765879081353,1.090353466776808,0.1870889342473151,0.19058541738609833,-0.17668544153903754,0.16733797549819648,sub-001,R04,0
6.45247347114781e-12,2.1782368890082936e-12,7.345684719272903e-11,1.228812547242974,1.055937340646741,3.3605306187378344e-12,1.8336458858979252e-12,5.000364033567946e-11,1.1726777120892338,1.0967891341065945,7.015852424727166e-12,1.7460258290964005e-12,6.609923732663324e-11,1.2565538868541195,1.0545847942411029,-0.04182991694252848,0.11013815612239096,0.0013525464056380887,0.2821263071436331,sub-001,R04,0
9.71906431370496e-12,3.0587818521406686e-12,1.0106774213337394e-10,1.2250715601082334,1.0650316686138244,4.861544195702602e-12,2.3285938398211682e-12,6.222286752536469e-11,1.202256609914379,1.202194574465766,4.620026561334605e-12,2.2358842815492385e-12,6.336733609950838e-11,1.1885021246125351,1.0551322329663781,0.35560397774215835,0.15542010578444998,0.00989943564744622,0.4217149778497435,sub-001,R04,0
